"CODIGO";"DESCRIPCION";"COSTO";"ULTCOSTO";"PRECIO1";"PRECIO2";"PRECIO3";"PRECIO4";"PRECIO5";"PRECIO6";"PRECIO";"PORCENTAJE";"ULTPRECIO";"MARCA";"COLOR";"CATEGORIA";"SUBCATEGORIA";"UBICACION";"UNIDAD";"DISPONIBLE";"ENPRODUCCION";"NOTAS";"IVA";"TASA";"IMPOTROS";"IIBB";"STOCKMINIMO";"STOCKMAXIMO";"STOCKVENDIDO";"FECHACOMPULT";"LISTA";"PROCEDENCIA";"CODIGOBARRA";"RUBRO";"PROVEEDOR";"GARANTIA";"FECHA";"PEDIDO";"STOCK";"EXISTENTE";"ACTUAL";"MARCADOCONTADO";"MARCADOLISTA";"MARCADOFINAL";"PREPARADO";"CTANOMBRE";"CTATIPO";"CTAANTICIPO";"CTAIIBB";"ESTADO";"VENCE";"VENCIMIENTO";"DESLARGA";"RESERVA";"INDIVIDUAL";"MODIFICADO";"SLUG";"ENLACE";"TIPO";"DESTACADO";"VISIBLE";"REBAJADODESDE";"REBAJADOHASTA";"VIRTUAL";"DESCARGAR";"DESCARGA";"DESCARGARLIMITE";"DESCARGAREXPIRA";"URLEXTERNA";"BOTON";"ESTADOIMPUESTO";"CLASEIMPUESTO";"ESTADOSTOCK";"PESO";"DIMENSION";"CLASEENVIO";"VALORACION";"VENTADIRIGIDA";"VENTACRUZADA";"PADRE";"NOTACOMPRA";"ETIQUETA";"ATRIBUTO";"ATRIBUTOPORDEFECTO";"META";"USD"
6;"gaudi mantilla doble fas ";250;;262.5;275;287.5;300;312.5;325;500;100;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;14/06/2019;;"";"90230240";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
7;"lusitania campera friza ";250;;262.5;275;287.5;300;312.5;325;450;80;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;14/06/2019;;"";"90300467";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
8;"pipino campera bordada";196;;205.8;215.6;225.4;235.2;245;254.8;392;100;;0;0;0;0;"";"c/u";0;;"";;0;0;0;;;;14/06/2019;;"";"90960313";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
9;"baby cheito pantalon";160;;168;176;184;192;200;208;320;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;14/06/2019;;"";"90246432";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
10;"adachi baby manra beba ";300;;315;330;345;360;375;390;600;100;;0;0;0;0;"";"c/u";4;;"";;0;0;0;;;;14/06/2019;;"";"91151162";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
11;"adachi baby manta alg";260;;273;286;299;312;325;338;520;100;;0;0;0;0;"";"c/u";6;;"";;0;0;0;;;;14/06/2019;;"";"91151186";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
12;"adachi baby manta plush";300;;315;330;345;360;375;390;600;100;;0;0;0;0;"";"c/u";4;;"";;0;0;0;;;;14/06/2019;;"";"91151162";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
13;"adachi b.manta doble";260;;273;286;299;312;325;338;520;100;;0;0;0;0;"";"c/u";5;;"";;0;0;0;;;;14/06/2019;;"";"";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
14;"adachi baby manta polar";480;;504;528;552;576;600;624;864;80;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;14/06/2019;;"";"91151155";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
15;"adachi body bebe";115;;120.75;126.5;132.25;138;143.75;149.5;230;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;14/06/2019;;"";"91151155";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
